platform	target	subtarget	device	name	soc	edition	channel	max_feature
mtk	mediatek	filogic	abt_asr3000	ABT ASR3000	mt7981	open	edge	standard
mtk	mediatek	filogic	abt_asr3000	ABT ASR3000	mt7981	open	lts	standard
mtk	mediatek	filogic	abt_asr3000	ABT ASR3000	mt7981	pro	edge	standard
mtk	mediatek	filogic	abt_asr3000	ABT ASR3000	mt7981	pro	lts	standard
mtk	mediatek	filogic	acelink_ew-7886cax	Acelink EW-7886CAX	mt7986	open	edge	standard
mtk	mediatek	filogic	acelink_ew-7886cax	Acelink EW-7886CAX	mt7986	open	lts	standard
mtk	mediatek	filogic	acelink_ew-7886cax	Acelink EW-7886CAX	mt7986	pro	edge	standard
mtk	mediatek	filogic	acelink_ew-7886cax	Acelink EW-7886CAX	mt7986	pro	lts	standard
mtk	mediatek	filogic	acer_predator-w6	Acer Predator Connect W6	mt7986	open	edge	standard-usb
mtk	mediatek	filogic	acer_predator-w6	Acer Predator Connect W6	mt7986	open	lts	standard-usb
mtk	mediatek	filogic	acer_predator-w6	Acer Predator Connect W6	mt7986	pro	edge	standard-usb
mtk	mediatek	filogic	acer_predator-w6	Acer Predator Connect W6	mt7986	pro	lts	standard-usb
mtk	mediatek	filogic	acer_predator-w6d	Acer Predator Connect W6d	mt7986	open	edge	standard-usb
mtk	mediatek	filogic	acer_predator-w6d	Acer Predator Connect W6d	mt7986	open	lts	standard-usb
mtk	mediatek	filogic	acer_predator-w6d	Acer Predator Connect W6d	mt7986	pro	edge	standard-usb
mtk	mediatek	filogic	acer_predator-w6d	Acer Predator Connect W6d	mt7986	pro	lts	standard-usb
mtk	mediatek	filogic	acer_predator-w6x-stock	Acer Predator Connect W6x (Stock Layout)	mt7986	open	edge	standard-usb
mtk	mediatek	filogic	acer_predator-w6x-stock	Acer Predator Connect W6x (Stock Layout)	mt7986	open	lts	standard-usb
mtk	mediatek	filogic	acer_predator-w6x-stock	Acer Predator Connect W6x (Stock Layout)	mt7986	pro	edge	standard-usb
mtk	mediatek	filogic	acer_predator-w6x-stock	Acer Predator Connect W6x (Stock Layout)	mt7986	pro	lts	standard-usb
mtk	mediatek	filogic	acer_predator-w6x-ubootmod	Acer Predator Connect W6x (OpenWrt U-Boot Layout)	mt7986	open	edge	standard-usb
mtk	mediatek	filogic	acer_predator-w6x-ubootmod	Acer Predator Connect W6x (OpenWrt U-Boot Layout)	mt7986	open	lts	standard-usb
mtk	mediatek	filogic	acer_predator-w6x-ubootmod	Acer Predator Connect W6x (OpenWrt U-Boot Layout)	mt7986	pro	edge	standard-usb
mtk	mediatek	filogic	acer_predator-w6x-ubootmod	Acer Predator Connect W6x (OpenWrt U-Boot Layout)	mt7986	pro	lts	standard-usb
mtk	mediatek	filogic	acer_vero-w6m	Acer Connect Vero W6m	mt7986	open	edge	standard
mtk	mediatek	filogic	acer_vero-w6m	Acer Connect Vero W6m	mt7986	open	lts	standard
mtk	mediatek	filogic	acer_vero-w6m	Acer Connect Vero W6m	mt7986	pro	edge	standard
mtk	mediatek	filogic	acer_vero-w6m	Acer Connect Vero W6m	mt7986	pro	lts	standard
mtk	mediatek	filogic	airpi_ap3000m	Airpi AP3000M	mt7981	open	edge	standard-usb
mtk	mediatek	filogic	airpi_ap3000m	Airpi AP3000M	mt7981	open	lts	standard-usb
mtk	mediatek	filogic	airpi_ap3000m	Airpi AP3000M	mt7981	pro	edge	standard-usb
mtk	mediatek	filogic	airpi_ap3000m	Airpi AP3000M	mt7981	pro	lts	standard-usb
mtk	mediatek	filogic	alwaylink_m01k43	AlwayLink M01K43	mt7981	open	edge	core
mtk	mediatek	filogic	arcadyan_mozart	Arcadyan Mozart	mt7988	open	edge	standard
mtk	mediatek	filogic	arcadyan_mozart	Arcadyan Mozart	mt7988	open	lts	standard
mtk	mediatek	filogic	asiarf_ap7986-003	AsiaRF AP7986 003	mt7986	open	edge	standard-usb
mtk	mediatek	filogic	asiarf_ap7986-003	AsiaRF AP7986 003	mt7986	open	lts	standard-usb
mtk	mediatek	filogic	asiarf_ap7986-003	AsiaRF AP7986 003	mt7986	pro	edge	standard-usb
mtk	mediatek	filogic	asiarf_ap7986-003	AsiaRF AP7986 003	mt7986	pro	lts	standard-usb
mtk	mediatek	filogic	asus_rt-ax52	ASUS RT-AX52	mt7981	open	edge	standard
